Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensPPO_extLay_10xlearn/
[train] Pretrained model ./TensPPO_extLay_10xlearn/ not found. Starting from scratch.
[train] Training 'TensPPO_extLay_10xlearn'
[train] Episode   1 | Steps Taken:  98 | Total Steps: Taken     98/500000 | Total reward: -516.7827621732483
[train] Episode   2 | Steps Taken:  98 | Total Steps: Taken    196/500000 | Total reward: -514.1717371092182
[train] Episode   3 | Steps Taken:  97 | Total Steps: Taken    293/500000 | Total reward: -500.1903158565493
[train] Episode   4 | Steps Taken:  94 | Total Steps: Taken    387/500000 | Total reward: -458.77548496386703
[train] Episode   5 | Steps Taken:  97 | Total Steps: Taken    484/500000 | Total reward: -510.638549248735
[train] Episode   6 | Steps Taken:  94 | Total Steps: Taken    578/500000 | Total reward: -462.0630740136489
[train] Episode   7 | Steps Taken:  95 | Total Steps: Taken    673/500000 | Total reward: -478.02950489184155
[train] Episode   8 | Steps Taken: 101 | Total Steps: Taken    774/500000 | Total reward: -545.3607522154061
[train] Episode   9 | Steps Taken:  99 | Total Steps: Taken    873/500000 | Total reward: -519.864879878433
[train] Episode  10 | Steps Taken:  96 | Total Steps: Taken    969/500000 | Total reward: -479.2498287926668
[train] Episode  11 | Steps Taken: 103 | Total Steps: Taken   1072/500000 | Total reward: -577.7748448732877
[train] Episode  12 | Steps Taken:  97 | Total Steps: Taken   1169/500000 | Total reward: -531.2640853011555
[train] Episode  13 | Steps Taken:  98 | Total Steps: Taken   1267/500000 | Total reward: -564.9782503896523
[train] Episode  14 | Steps Taken:  99 | Total Steps: Taken   1366/500000 | Total reward: -574.9226386118711
[train] Episode  15 | Steps Taken:  97 | Total Steps: Taken   1463/500000 | Total reward: -529.2024368761712
[train] Episode  16 | Steps Taken:  99 | Total Steps: Taken   1562/500000 | Total reward: -568.3869176517178
[train] Episode  17 | Steps Taken:  98 | Total Steps: Taken   1660/500000 | Total reward: -555.9967495359301
[train] Episode  18 | Steps Taken:  97 | Total Steps: Taken   1757/500000 | Total reward: -537.1893288707881
[train] Episode  19 | Steps Taken:  99 | Total Steps: Taken   1856/500000 | Total reward: -569.9700212035234
[train] Episode  20 | Steps Taken:  99 | Total Steps: Taken   1955/500000 | Total reward: -570.8884952523596
[train] Episode  21 | Steps Taken:  97 | Total Steps: Taken   2052/500000 | Total reward: -551.0485094534343
[train] Episode  22 | Steps Taken:  99 | Total Steps: Taken   2151/500000 | Total reward: -576.4091227628307
[train] Episode  23 | Steps Taken:  97 | Total Steps: Taken   2248/500000 | Total reward: -544.1725923374185
[train] Episode  24 | Steps Taken:  98 | Total Steps: Taken   2346/500000 | Total reward: -560.5340204678608
[train] Episode  25 | Steps Taken:  98 | Total Steps: Taken   2444/500000 | Total reward: -548.18220869229
[train] Episode  26 | Steps Taken:  98 | Total Steps: Taken   2542/500000 | Total reward: -566.3574468143936
[train] Episode  27 | Steps Taken:  98 | Total Steps: Taken   2640/500000 | Total reward: -542.9870956442061
[train] Episode  28 | Steps Taken:  99 | Total Steps: Taken   2739/500000 | Total reward: -571.2268335173288
[train] Episode  29 | Steps Taken:  99 | Total Steps: Taken   2838/500000 | Total reward: -574.6995206385935
[train] Episode  30 | Steps Taken:  94 | Total Steps: Taken   2932/500000 | Total reward: -479.79189814543986
[train] Episode  31 | Steps Taken:  99 | Total Steps: Taken   3031/500000 | Total reward: -576.7397536934557
[train] Episode  32 | Steps Taken:  98 | Total Steps: Taken   3129/500000 | Total reward: -555.2156415886465
[train] Episode  33 | Steps Taken:  98 | Total Steps: Taken   3227/500000 | Total reward: -563.369326754665
[train] Episode  34 | Steps Taken:  99 | Total Steps: Taken   3326/500000 | Total reward: -582.7860598742353
[train] Episode  35 | Steps Taken:  98 | Total Steps: Taken   3424/500000 | Total reward: -564.7821808839981
[train] Episode  36 | Steps Taken:  99 | Total Steps: Taken   3523/500000 | Total reward: -563.9240272202835
[train] Episode  37 | Steps Taken:  98 | Total Steps: Taken   3621/500000 | Total reward: -556.2001617905114
[train] Episode  38 | Steps Taken:  98 | Total Steps: Taken   3719/500000 | Total reward: -562.7946641537753
[train] Episode  39 | Steps Taken:  97 | Total Steps: Taken   3816/500000 | Total reward: -543.5971805591414
[train] Episode  40 | Steps Taken:  99 | Total Steps: Taken   3915/500000 | Total reward: -572.3287064149896
[train] Episode  41 | Steps Taken:  98 | Total Steps: Taken   4013/500000 | Total reward: -556.1899261916959
[train] Episode  42 | Steps Taken:  98 | Total Steps: Taken   4111/500000 | Total reward: -558.3085868579885
[train] Episode  43 | Steps Taken:  98 | Total Steps: Taken   4209/500000 | Total reward: -556.1813185609321
[train] Episode  44 | Steps Taken:  99 | Total Steps: Taken   4308/500000 | Total reward: -565.9976688566385
[train] Episode  45 | Steps Taken:  98 | Total Steps: Taken   4406/500000 | Total reward: -555.5686484281638
[train] Episode  46 | Steps Taken:  98 | Total Steps: Taken   4504/500000 | Total reward: -562.0699113732194
[train] Episode  47 | Steps Taken:  98 | Total Steps: Taken   4602/500000 | Total reward: -565.506841862431
[train] Episode  48 | Steps Taken:  98 | Total Steps: Taken   4700/500000 | Total reward: -552.2013474954765
[train] Episode  49 | Steps Taken:  98 | Total Steps: Taken   4798/500000 | Total reward: -559.372431322301
[train] Episode  50 | Steps Taken:  97 | Total Steps: Taken   4895/500000 | Total reward: -522.8283621138606
[train] Episode  51 | Steps Taken:  99 | Total Steps: Taken   4994/500000 | Total reward: -574.2640227762369
[train] Episode  52 | Steps Taken:  99 | Total Steps: Taken   5093/500000 | Total reward: -568.8520311385618
[train] Episode  53 | Steps Taken:  98 | Total Steps: Taken   5191/500000 | Total reward: -551.6732300154957
[train] Episode  54 | Steps Taken:  98 | Total Steps: Taken   5289/500000 | Total reward: -562.40945168665
[train] Episode  55 | Steps Taken:  98 | Total Steps: Taken   5387/500000 | Total reward: -544.9077030628246
[train] Episode  56 | Steps Taken:  99 | Total Steps: Taken   5486/500000 | Total reward: -578.0325110602928
[train] Episode  57 | Steps Taken:  99 | Total Steps: Taken   5585/500000 | Total reward: -572.4384860878266
[train] Episode  58 | Steps Taken:  99 | Total Steps: Taken   5684/500000 | Total reward: -570.2993929218779
[train] Episode  59 | Steps Taken:  97 | Total Steps: Taken   5781/500000 | Total reward: -541.7428727656746
[train] Episode  60 | Steps Taken:  98 | Total Steps: Taken   5879/500000 | Total reward: -559.7354982379319
[train] Episode  61 | Steps Taken:  98 | Total Steps: Taken   5977/500000 | Total reward: -555.2943937023668
[train] Episode  62 | Steps Taken:  99 | Total Steps: Taken   6076/500000 | Total reward: -575.7560131101492
[train] Episode  63 | Steps Taken:  98 | Total Steps: Taken   6174/500000 | Total reward: -566.126352436463
[train] Episode  64 | Steps Taken:  98 | Total Steps: Taken   6272/500000 | Total reward: -546.6019720747662
[train] Episode  65 | Steps Taken:  99 | Total Steps: Taken   6371/500000 | Total reward: -573.5743223598624
[train] Episode  66 | Steps Taken:  99 | Total Steps: Taken   6470/500000 | Total reward: -582.1546150740905
[train] Episode  67 | Steps Taken:  98 | Total Steps: Taken   6568/500000 | Total reward: -552.425031862909
