Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent_exp/
[train] Successfully loaded weights from ./TensorforcePPOAgent_exp/
[train] Training 'TensorforcePPOAgent_exp'
[train] Episode   1 | Steps Taken: 111 | Total Steps: Taken    111/1000000 | Total reward: -555.6866407261748
[train] Episode   2 | Steps Taken: 108 | Total Steps: Taken    219/1000000 | Total reward: -523.2474639772636
[train] Episode   3 | Steps Taken: 107 | Total Steps: Taken    326/1000000 | Total reward: -554.0494138107377
[train] Episode   4 | Steps Taken: 109 | Total Steps: Taken    435/1000000 | Total reward: -533.919226470486
[train] Episode   5 | Steps Taken: 122 | Total Steps: Taken    557/1000000 | Total reward: -574.96652553284
[train] Episode   6 | Steps Taken: 108 | Total Steps: Taken    665/1000000 | Total reward: -548.1830691766436
[train] Episode   7 | Steps Taken: 113 | Total Steps: Taken    778/1000000 | Total reward: -506.20695252369967
[train] Episode   8 | Steps Taken: 112 | Total Steps: Taken    890/1000000 | Total reward: -528.9952132365031
[train] Episode   9 | Steps Taken:  99 | Total Steps: Taken    989/1000000 | Total reward: -562.9901529341116
[train] Episode  10 | Steps Taken:  99 | Total Steps: Taken   1088/1000000 | Total reward: -558.2509156271543
[train] Episode  11 | Steps Taken:  99 | Total Steps: Taken   1187/1000000 | Total reward: -556.2854454107587
[train] Episode  12 | Steps Taken: 100 | Total Steps: Taken   1287/1000000 | Total reward: -568.5956349564085
[train] Episode  13 | Steps Taken:  98 | Total Steps: Taken   1385/1000000 | Total reward: -554.4599236778892
[train] Episode  14 | Steps Taken: 100 | Total Steps: Taken   1485/1000000 | Total reward: -561.7653749252665
[train] Episode  15 | Steps Taken:  99 | Total Steps: Taken   1584/1000000 | Total reward: -555.9008700598241
[train] Episode  16 | Steps Taken:  99 | Total Steps: Taken   1683/1000000 | Total reward: -561.4777391965532
[train] Episode  17 | Steps Taken:  98 | Total Steps: Taken   1781/1000000 | Total reward: -555.0648045507943
[train] Episode  18 | Steps Taken: 100 | Total Steps: Taken   1881/1000000 | Total reward: -563.8531114507525
[train] Episode  19 | Steps Taken:  98 | Total Steps: Taken   1979/1000000 | Total reward: -550.8661314853024
