Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent_exp/
[train] Successfully loaded weights from ./TensorforcePPOAgent_exp/
[train] Training 'TensorforcePPOAgent_exp'
[train] Episode   1 | Steps Taken:  96 | Total Steps: Taken     96/1000000 | Total reward: -461.78202251790714
[train] Episode   2 | Steps Taken:  99 | Total Steps: Taken    195/1000000 | Total reward: -515.6844654300903
[train] Episode   3 | Steps Taken:  98 | Total Steps: Taken    293/1000000 | Total reward: -500.8748820633374
[train] Episode   4 | Steps Taken:  97 | Total Steps: Taken    390/1000000 | Total reward: -474.2993147223643
[train] Episode   5 | Steps Taken:  98 | Total Steps: Taken    488/1000000 | Total reward: -495.30922592260276
[train] Episode   6 | Steps Taken:  98 | Total Steps: Taken    586/1000000 | Total reward: -503.37587575412687
[train] Episode   7 | Steps Taken:  97 | Total Steps: Taken    683/1000000 | Total reward: -501.19433255831996
[train] Episode   8 | Steps Taken:  97 | Total Steps: Taken    780/1000000 | Total reward: -485.82596213740567
[train] Episode   9 | Steps Taken: 100 | Total Steps: Taken    880/1000000 | Total reward: -549.1818571822563
[train] Episode  10 | Steps Taken:  99 | Total Steps: Taken    979/1000000 | Total reward: -510.06177300976776
[train] Episode  11 | Steps Taken:  99 | Total Steps: Taken   1078/1000000 | Total reward: -508.64494040479764
[train] Episode  12 | Steps Taken:  98 | Total Steps: Taken   1176/1000000 | Total reward: -498.67718973430397
[train] Episode  13 | Steps Taken:  98 | Total Steps: Taken   1274/1000000 | Total reward: -524.3489714710722
[train] Episode  14 | Steps Taken:  99 | Total Steps: Taken   1373/1000000 | Total reward: -555.578581104274
[train] Episode  15 | Steps Taken:  99 | Total Steps: Taken   1472/1000000 | Total reward: -521.4994615045315
[train] Episode  16 | Steps Taken:  99 | Total Steps: Taken   1571/1000000 | Total reward: -532.3598953048494
[train] Episode  17 | Steps Taken:  98 | Total Steps: Taken   1669/1000000 | Total reward: -499.4170167715647
[train] Episode  18 | Steps Taken:  98 | Total Steps: Taken   1767/1000000 | Total reward: -505.8875558698918
[train] Episode  19 | Steps Taken: 102 | Total Steps: Taken   1869/1000000 | Total reward: -576.3110180794282
[train] Episode  20 | Steps Taken:  97 | Total Steps: Taken   1966/1000000 | Total reward: -480.4247741771252
[train] Episode  21 | Steps Taken:  98 | Total Steps: Taken   2064/1000000 | Total reward: -480.7119463464131
[train] Episode  22 | Steps Taken: 100 | Total Steps: Taken   2164/1000000 | Total reward: -527.1882378745578
[train] Episode  23 | Steps Taken:  98 | Total Steps: Taken   2262/1000000 | Total reward: -501.6432844530862
[train] Episode  24 | Steps Taken:  99 | Total Steps: Taken   2361/1000000 | Total reward: -543.046858042822
[train] Episode  25 | Steps Taken: 100 | Total Steps: Taken   2461/1000000 | Total reward: -564.5340159237595
[train] Episode  26 | Steps Taken:  97 | Total Steps: Taken   2558/1000000 | Total reward: -462.0747234047344
[train] Episode  27 | Steps Taken:  98 | Total Steps: Taken   2656/1000000 | Total reward: -497.41602169896566
[train] Episode  28 | Steps Taken:  98 | Total Steps: Taken   2754/1000000 | Total reward: -503.8892534231338
