Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Pretrained model ./TensorforcePPOAgent/ not found. Starting from scratch.
[train] Training 'TensorforcePPOAgent'
[train] Episode   1 | Steps Taken: 104 | Total Steps: Taken    104/500000 | Total reward: -494.68536816933226
[train] Episode   2 | Steps Taken: 100 | Total Steps: Taken    204/500000 | Total reward: -406.698236632869
[train] Episode   3 | Steps Taken: 101 | Total Steps: Taken    305/500000 | Total reward: -435.60329471338923
[train] Episode   4 | Steps Taken: 103 | Total Steps: Taken    408/500000 | Total reward: -462.95546925675825
[train] Episode   5 | Steps Taken: 102 | Total Steps: Taken    510/500000 | Total reward: -408.43626577881867
[train] Episode   6 | Steps Taken: 102 | Total Steps: Taken    612/500000 | Total reward: -473.2375709166835
[train] Episode   7 | Steps Taken: 103 | Total Steps: Taken    715/500000 | Total reward: -427.4625105011183
[train] Episode   8 | Steps Taken: 100 | Total Steps: Taken    815/500000 | Total reward: -381.3156141749444
[train] Episode   9 | Steps Taken: 103 | Total Steps: Taken    918/500000 | Total reward: -432.65582646188005
[train] Episode  10 | Steps Taken:  99 | Total Steps: Taken   1017/500000 | Total reward: -376.05225027303845
[train] Episode  11 | Steps Taken: 103 | Total Steps: Taken   1120/500000 | Total reward: -428.1625962463676
[train] Episode  12 | Steps Taken: 105 | Total Steps: Taken   1225/500000 | Total reward: -539.434143479553
[train] Episode  13 | Steps Taken:  98 | Total Steps: Taken   1323/500000 | Total reward: -436.36015777811036
[train] Episode  14 | Steps Taken:  98 | Total Steps: Taken   1421/500000 | Total reward: -436.92923855205896
[train] Episode  15 | Steps Taken: 102 | Total Steps: Taken   1523/500000 | Total reward: -505.88471310051295
[train] Episode  16 | Steps Taken: 102 | Total Steps: Taken   1625/500000 | Total reward: -511.04895455578344
[train] Episode  17 | Steps Taken: 107 | Total Steps: Taken   1732/500000 | Total reward: -593.527620542161
[train] Episode  18 | Steps Taken: 102 | Total Steps: Taken   1834/500000 | Total reward: -493.78869078468006
[train] Episode  19 | Steps Taken:  98 | Total Steps: Taken   1932/500000 | Total reward: -428.60225200313096
[train] Episode  20 | Steps Taken:  98 | Total Steps: Taken   2030/500000 | Total reward: -439.30800813828563
[train] Episode  21 | Steps Taken: 101 | Total Steps: Taken   2131/500000 | Total reward: -494.5779851310222
[train] Episode  22 | Steps Taken: 101 | Total Steps: Taken   2232/500000 | Total reward: -485.82035047914707
