Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Successfully loaded weights from ./TensorforcePPOAgent/
[train] Training 'TensorforcePPOAgent'
[train] Episode   1 | Steps Taken:  96 | Total Steps: Taken     96/300000 | Total reward: -369.90490646947575
[train] Episode   2 | Steps Taken: 100 | Total Steps: Taken    196/300000 | Total reward: -367.2465495001856
[train] Episode   3 | Steps Taken: 101 | Total Steps: Taken    297/300000 | Total reward: -411.0655812978759
[train] Episode   4 | Steps Taken:  98 | Total Steps: Taken    395/300000 | Total reward: -375.37503343744277
[train] Episode   5 | Steps Taken: 102 | Total Steps: Taken    497/300000 | Total reward: -437.8886055630357
[train] Episode   6 | Steps Taken: 101 | Total Steps: Taken    598/300000 | Total reward: -412.4136362893448
[train] Episode   7 | Steps Taken:  97 | Total Steps: Taken    695/300000 | Total reward: -385.6198999033446
[train] Episode   8 | Steps Taken:  99 | Total Steps: Taken    794/300000 | Total reward: -404.8254441511208
[train] Episode   9 | Steps Taken: 100 | Total Steps: Taken    894/300000 | Total reward: -419.36951065070645
[train] Episode  10 | Steps Taken: 101 | Total Steps: Taken    995/300000 | Total reward: -398.11086237255125
[train] Episode  11 | Steps Taken:  99 | Total Steps: Taken   1094/300000 | Total reward: -416.97373513393654
[train] Episode  12 | Steps Taken:  95 | Total Steps: Taken   1189/300000 | Total reward: -341.74613304714126
[train] Episode  13 | Steps Taken: 101 | Total Steps: Taken   1290/300000 | Total reward: -398.326214585823
[train] Episode  14 | Steps Taken: 103 | Total Steps: Taken   1393/300000 | Total reward: -429.05720530646147
[train] Episode  15 | Steps Taken:  97 | Total Steps: Taken   1490/300000 | Total reward: -403.3783041568843
[train] Episode  16 | Steps Taken:  99 | Total Steps: Taken   1589/300000 | Total reward: -367.19986432959166
[train] Episode  17 | Steps Taken: 104 | Total Steps: Taken   1693/300000 | Total reward: -412.7333630960427
[train] Episode  18 | Steps Taken:  98 | Total Steps: Taken   1791/300000 | Total reward: -399.8012448400097
[train] Episode  19 | Steps Taken:  99 | Total Steps: Taken   1890/300000 | Total reward: -369.30360291896835
[train] Episode  20 | Steps Taken:  97 | Total Steps: Taken   1987/300000 | Total reward: -388.0163940863237
