Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Successfully loaded weights from ./TensorforcePPOAgent/
[train] Training 'TensorforcePPOAgent'
[train] Episode   1 | Steps Taken: 101 | Total Steps: Taken    101/200000 | Total reward: -383.00281258387537
[train] Episode   2 | Steps Taken:  98 | Total Steps: Taken    199/200000 | Total reward: -405.80301962392923
[train] Episode   3 | Steps Taken:  98 | Total Steps: Taken    297/200000 | Total reward: -402.5496467825695
[train] Episode   4 | Steps Taken:  97 | Total Steps: Taken    394/200000 | Total reward: -372.05117254877723
[train] Episode   5 | Steps Taken:  96 | Total Steps: Taken    490/200000 | Total reward: -361.6638954524221
[train] Episode   6 | Steps Taken:  98 | Total Steps: Taken    588/200000 | Total reward: -394.60059309591776
[train] Episode   7 | Steps Taken:  97 | Total Steps: Taken    685/200000 | Total reward: -359.7800581380805
[train] Episode   8 | Steps Taken:  98 | Total Steps: Taken    783/200000 | Total reward: -402.1574034756111
[train] Episode   9 | Steps Taken:  98 | Total Steps: Taken    881/200000 | Total reward: -414.44016839790913
[train] Episode  10 | Steps Taken:  96 | Total Steps: Taken    977/200000 | Total reward: -354.45038324175476
[train] Episode  11 | Steps Taken: 101 | Total Steps: Taken   1078/200000 | Total reward: -404.3231569216776
[train] Episode  12 | Steps Taken: 102 | Total Steps: Taken   1180/200000 | Total reward: -412.0394713975559
[train] Episode  13 | Steps Taken:  98 | Total Steps: Taken   1278/200000 | Total reward: -399.05114256836964
[train] Episode  14 | Steps Taken: 101 | Total Steps: Taken   1379/200000 | Total reward: -491.04471300227635
[train] Episode  15 | Steps Taken:  99 | Total Steps: Taken   1478/200000 | Total reward: -376.74834865136967
[train] Episode  16 | Steps Taken: 101 | Total Steps: Taken   1579/200000 | Total reward: -396.8479582294107
[train] Episode  17 | Steps Taken:  99 | Total Steps: Taken   1678/200000 | Total reward: -364.4958287681548
[train] Episode  18 | Steps Taken:  98 | Total Steps: Taken   1776/200000 | Total reward: -356.11593912448865
[train] Episode  19 | Steps Taken: 100 | Total Steps: Taken   1876/200000 | Total reward: -378.68161463776414
[train] Episode  20 | Steps Taken: 100 | Total Steps: Taken   1976/200000 | Total reward: -399.54758876720234
[train] Episode  21 | Steps Taken:  97 | Total Steps: Taken   2073/200000 | Total reward: -380.0153429516241
[train] Episode  22 | Steps Taken: 100 | Total Steps: Taken   2173/200000 | Total reward: -414.1416560305256
[train] Episode  23 | Steps Taken:  96 | Total Steps: Taken   2269/200000 | Total reward: -403.2483751180557
[train] Episode  24 | Steps Taken:  97 | Total Steps: Taken   2366/200000 | Total reward: -380.5920805994218
[train] Episode  25 | Steps Taken:  99 | Total Steps: Taken   2465/200000 | Total reward: -375.1988875941478
[train] Episode  26 | Steps Taken:  97 | Total Steps: Taken   2562/200000 | Total reward: -352.2111519003403
[train] Episode  27 | Steps Taken:  96 | Total Steps: Taken   2658/200000 | Total reward: -374.3021469199718
[train] Episode  28 | Steps Taken:  97 | Total Steps: Taken   2755/200000 | Total reward: -359.9505096270629
[train] Episode  29 | Steps Taken: 101 | Total Steps: Taken   2856/200000 | Total reward: -412.6946865075396
[train] Episode  30 | Steps Taken:  98 | Total Steps: Taken   2954/200000 | Total reward: -384.217877308917
[train] Episode  31 | Steps Taken:  96 | Total Steps: Taken   3050/200000 | Total reward: -370.0375724181465
[train] Episode  32 | Steps Taken: 104 | Total Steps: Taken   3154/200000 | Total reward: -431.63103934018704
[train] Episode  33 | Steps Taken:  96 | Total Steps: Taken   3250/200000 | Total reward: -378.5529678314454
[train] Episode  34 | Steps Taken:  99 | Total Steps: Taken   3349/200000 | Total reward: -399.0180889877259
[train] Episode  35 | Steps Taken:  98 | Total Steps: Taken   3447/200000 | Total reward: -353.187744991164
[train] Episode  36 | Steps Taken: 100 | Total Steps: Taken   3547/200000 | Total reward: -398.58233676303115
[train] Episode  37 | Steps Taken:  98 | Total Steps: Taken   3645/200000 | Total reward: -380.8179356249916
[train] Episode  38 | Steps Taken:  96 | Total Steps: Taken   3741/200000 | Total reward: -419.2487515726027
[train] Episode  39 | Steps Taken: 101 | Total Steps: Taken   3842/200000 | Total reward: -458.71680865801903
[train] Episode  40 | Steps Taken:  99 | Total Steps: Taken   3941/200000 | Total reward: -393.57906913914405
[train] Episode  41 | Steps Taken:  98 | Total Steps: Taken   4039/200000 | Total reward: -387.073592011828
[train] Episode  42 | Steps Taken:  99 | Total Steps: Taken   4138/200000 | Total reward: -308.02566142786145
[train] Episode  43 | Steps Taken: 102 | Total Steps: Taken   4240/200000 | Total reward: -421.2974403512576
[train] Episode  44 | Steps Taken: 100 | Total Steps: Taken   4340/200000 | Total reward: -379.42208064212815
[train] Episode  45 | Steps Taken: 100 | Total Steps: Taken   4440/200000 | Total reward: -374.3883429116057
[train] Episode  46 | Steps Taken:  99 | Total Steps: Taken   4539/200000 | Total reward: -331.662924698072
[train] Episode  47 | Steps Taken: 102 | Total Steps: Taken   4641/200000 | Total reward: -401.4178321136446
[train] Episode  48 | Steps Taken:  95 | Total Steps: Taken   4736/200000 | Total reward: -365.03314647638746
[train] Episode  49 | Steps Taken:  98 | Total Steps: Taken   4834/200000 | Total reward: -347.48760330765543
[train] Episode  50 | Steps Taken:  95 | Total Steps: Taken   4929/200000 | Total reward: -372.23571565544444
[train] Episode  51 | Steps Taken:  97 | Total Steps: Taken   5026/200000 | Total reward: -349.48177190354767
[train] Episode  52 | Steps Taken:  98 | Total Steps: Taken   5124/200000 | Total reward: -375.00668290015346
[train] Episode  53 | Steps Taken:  97 | Total Steps: Taken   5221/200000 | Total reward: -370.36681477466783
[train] Episode  54 | Steps Taken: 100 | Total Steps: Taken   5321/200000 | Total reward: -359.3760800258314
[train] Episode  55 | Steps Taken:  99 | Total Steps: Taken   5420/200000 | Total reward: -372.64785852568014
[train] Episode  56 | Steps Taken: 101 | Total Steps: Taken   5521/200000 | Total reward: -387.85107559410665
[train] Episode  57 | Steps Taken:  99 | Total Steps: Taken   5620/200000 | Total reward: -381.9898533812783
[train] Episode  58 | Steps Taken:  96 | Total Steps: Taken   5716/200000 | Total reward: -385.6176412387157
[train] Episode  59 | Steps Taken: 103 | Total Steps: Taken   5819/200000 | Total reward: -385.69898562151593
[train] Episode  60 | Steps Taken:  96 | Total Steps: Taken   5915/200000 | Total reward: -377.60594771869177
[train] Episode  61 | Steps Taken:  99 | Total Steps: Taken   6014/200000 | Total reward: -364.12477630776294
[train] Episode  62 | Steps Taken:  98 | Total Steps: Taken   6112/200000 | Total reward: -411.066860665156
[train] Episode  63 | Steps Taken: 101 | Total Steps: Taken   6213/200000 | Total reward: -344.76371853247963
